item_id,name,category,depth,height,width,Price
90420332,FREKVENS,Bar furniture,NA,99,51,265
368814,NORDVIKEN,Bar furniture,NA,105,80,995
9333523,NORDVIKEN / NORDVIKEN,Bar furniture,NA,NA,NA,2095
80155205,STIG,Bar furniture,50,100,60,69
30180504,NORBERG,Bar furniture,60,43,74,225
10122647,INGOLF,Bar furniture,45,91,40,345
70404875,FRANKLIN,Bar furniture,44,95,50,129
60155602,DALFRED,Bar furniture,50,NA,50,195
50406465,FRANKLIN,Bar furniture,44,95,50,129
69304221,EKEDALEN / EKEDALEN,Bar furniture,NA,NA,NA,2176
90404879,FRANKLIN,Bar furniture,44,103,52,149
121766,INGOLF,Bar furniture,45,102,40,395
397736,NORRARYD,Bar furniture,47,103,46,395
50420329,FREKVENS,Bar furniture,53,104,43,177
400550,EKEDALEN,Bar furniture,52,114,43,345
29304826,TOMMARYD,Bar furniture,NA,105,70,695
40426138,HENRIKSDAL,Bar furniture,51,102,40,395
50363649,KULLABERG,Bar furniture,36,NA,36,140
70246089,JANINGE,Bar furniture,36,84,38,595
60406785,FRANKLIN,Bar furniture,44,103,52,149
340759,EKEDALEN,Bar furniture,NA,105,80,995
30352246,RÅSKOG,Bar furniture,44,63,44,175
10281354,JANINGE,Bar furniture,36,84,38,595
90400517,EKEDALEN,Bar furniture,NA,105,80,796
400545,EKEDALEN,Bar furniture,51,114,43,345
10400540,EKEDALEN,Bar furniture,52,114,43,345
40400529,EKEDALEN,Bar furniture,NA,105,80,796
90319918,HENRIKSDAL,Bar furniture,51,102,40,695
29297227,STENSELE / NORRARYD,Bar furniture,NA,NA,NA,1340
99323925,STENSELE,Bar furniture,NA,104,70,550
40339004,NORRÅKER,Bar furniture,NA,102,74,595
39184324,HENRIKSDAL,Bar furniture,51,102,40,435
19297275,NORRÅKER / NORRÅKER,Bar furniture,NA,NA,NA,1266
60400745,YNGVAR,Bar furniture,40,NA,40,475
20336619,HENRIKSDAL,Bar furniture,NA,NA,NA,40
20429010,NORRÅKER,Bar furniture,48,100,42,395
80369112,NORDVIKEN,Bar furniture,47,101,40,275
89280380,NORRÅKER / NORRARYD,Bar furniture,NA,104,74,1385
29304223,EKEDALEN / EKEDALEN,Bar furniture,NA,NA,NA,2375
49304217,EKEDALEN / EKEDALEN,Bar furniture,NA,NA,NA,2176
272656,BERNHARD,Bar furniture,50,90,48,745
79241940,NORRÅKER / NORRÅKER,Bar furniture,NA,104,74,1385
89297272,NORRÅKER / NORRARYD,Bar furniture,NA,NA,NA,1266
9288224,STENSELE,Bar furniture,NA,105,NA,550
30135658,GLENN,Bar furniture,52,100,50,445
49297274,NORRÅKER / NORRÅKER,Bar furniture,NA,NA,NA,1266
30308395,RÅSKOG,Bar furniture,44,63,44,175
29123958,MINNEN,Beds,NA,NA,85,395
49278341,BRIMNES,Beds,54,110,96,895
50461230,SMÅGÖRA,Beds,NA,79,66,595
89326463,PLATSA,Beds,40,43,140,2111
50468953,VATTVIKEN,Beds,83,86,92,995
69326609,SLÄKT,Beds,NA,NA,91,540
59099136,BRIMNES,Beds,NA,111,146,795
40395245,NEIDEN,Beds,NA,NA,94,99
69277307,LEIRVIK,Beds,NA,NA,188,1195
70395239,NEIDEN,Beds,NA,NA,144,199
89931560,HEMNES,Beds,NA,NA,154,675
30446373,SLATTUM,Beds,NA,NA,144,595
59248612,NEIDEN,Beds,NA,NA,94,199
19254209,SAGSTUA,Beds,NA,140,148,545
20400691,BRIMNES,Beds,54,47,96,575
39019701,ASKVOLL,Beds,NA,NA,147,445
69912770,TRYSIL,Beds,NA,NA,165,525
29931596,MALM,Beds,NA,NA,156,495
29179554,RAMSTA,Beds,NA,80,97,445
9241043,SONGESAND,Beds,NA,NA,153,395
19175957,MALM,Beds,59,15,196,920
19185433,SNIGLAR,Beds,NA,NA,77,195
39122072,LAUVIK,Beds,NA,120,140,1729
79902935,BRIMNES,Beds,54,20,146,575
90349326,HEMNES,Beds,70,18,89,1495
99157983,NESTTUN,Beds,NA,95,146,595
69057522,TYSSEDAL,Beds,NA,NA,147,1395
79012991,MALM,Beds,59,15,105,670
249487,MALM,Beds,NA,NA,105,445
89227731,SLÄKT,Beds,57,NA,96,995
90331091,RIDABU,Beds,NA,120,40,100
69185435,KRITTER,Beds,NA,NA,75,360
29194427,HEMNES,Beds,NA,NA,154,1375
89305446,PLATSA,Beds,40,43,143,2600.5
19259631,SAGSTUA,Beds,NA,120,98,745
80017389,SANDVIKA,Beds,NA,34,80,295
39248608,NEIDEN,Beds,NA,NA,144,399
69323757,MINNEN,Beds,NA,NA,85,395
79227755,SLÄKT,Beds,NA,NA,96,375
90354327,HAMMARN,Beds,85,78,128,399
79247598,BJÖRKSNÄS,Beds,NA,42,160,2040
10362963,SLÄKT,Beds,NA,NA,62,425
9241420,NORDLI,Beds,51,16,240,2290
20424362,FYRESDAL,Beds,NA,94,88,549
69241097,SONGESAND,Beds,64,14,153,570
39931609,MALM,Beds,59,NA,156,945
20467629,MYDAL,Beds,NA,157,97,895
239233,TUFFING,Beds,NA,130,96,475
29239459,SÄBÖVIK,Beds,NA,90,140,1745
60116960,LYCKSELE,Beds,55,21,92,100
89019992,TARVA,Beds,NA,NA,148,871
30249546,HEMNES,Beds,NA,NA,104,695
89019572,HEMNES,Beds,NA,NA,104,995
70305700,BUSUNGE,Beds,NA,NA,90,795
40433902,MARKERAD,Beds,NA,20,80,480
79129986,GJÖRA,Beds,NA,NA,154,1640
360484,UTÅKER,Beds,NA,2,83,695
44361010,BRYNE,Beds,NA,NA,NA,49
80253809,KURA,Beds,NA,116,99,745
39216754,FRIHETEN,Beds,151,66,NA,1846
10448325,VITVAL,Beds,NA,20,90,295
30160209,LURÖY,Beds,NA,4,80,100
30248537,SNIGLAR,Beds,NA,80,66,295
29188822,HEMNES,Beds,NA,NA,104,1145
60372276,HEMNES,Beds,70,18,89,1495
19009562,MALM,Beds,NA,NA,105,545
99239451,SLÄKT,Beds,57,45,95,620
99287550,DELAKTIG,Beds,NA,99,164,2195
19268763,STUVA,Beds,NA,182,NA,1725
29250753,LAUVIK,Beds,NA,120,160,2425
49303393,VIMLE,Beds,NA,NA,NA,1400
89186778,KONGSFJORD,Beds,NA,135,180,8551
9306416,NYHAMN,Beds,97,90,200,1470
50340163,NYHAMN,Beds,NA,NA,140,450
29291956,SLÄKT,Beds,57,14,96,1395
70284203,ASKEBY,Beds,72,72,149,995
20228709,BRIMNES,Beds,28,111,146,220
49046068,SUNDVIK,Beds,NA,80,NA,849
20404806,MALM,Beds,NA,NA,175,1595
9186126,HEMNES,Beds,70,18,89,2185
70362427,SOLGUL,Beds,NA,53,66,395
102452,MYDAL,Beds,NA,157,NA,795
40349847,NORDLI,Beds,51,16,140,1595
30099293,VIKARE,Beds,NA,7,NA,95
70426537,DELAKTIG,Beds,NA,70,150,595
90299449,TUFFING,Beds,NA,179,97,645
39277498,VALLENTUNA,Beds,93,84,113,1848
40411410,VITVAL,Beds,45,73,95,200
89302914,PLATSA,Beds,40,43,140,2307
10453086,PLATSA,Beds,40,43,140,1195
9324284,PLATSA,Beds,40,43,140,3339
19302922,VITVAL,Beds,NA,162,97,1590
90229017,BUSUNGE,Beds,NA,NA,90,795
80341496,NYHAMN,Beds,NA,NA,140,600
228705,BRIMNES,Beds,53,21,86,1095
29241160,SONGESAND,Beds,64,14,153,1245
59167074,LAUVIK,Beds,NA,120,140,2146
89386070,SLÄKT,Beds,53,35,96,1260
10247973,SVÄRTA,Beds,NA,159,97,895
99278070,VALLENTUNA,Beds,NA,84,346,7796
19166180,LYCKSELE MURBO,Beds,100,87,142,1445
79288188,DELAKTIG,Beds,NA,99,204,2595
99302918,PLATSA,Beds,40,43,141,1767
60433901,MARKERAD,Beds,NA,NA,80,267
102065,LYCKSELE LÖVÅS,Beds,NA,NA,NA,495
39227837,UTÅKER,Beds,NA,2,83,1285
39041660,SUNDVIK,Beds,NA,80,NA,849
59302915,PLATSA,Beds,40,43,141,2905
60299691,BRYNILEN,Beds,NA,NA,NA,30
39279280,FYRESDAL,Beds,NA,94,88,1139
9149879,VALLENTUNA,Beds,100,45,80,1160
19287530,DELAKTIG,Beds,NA,29,164,1400
400692,BRIMNES,Beds,28,110,96,220
19326428,SLÄKT,Beds,NA,NA,91,520
80332468,SUFFLETT,Beds,NA,80,NA,85
90332458,KURA,Beds,NA,68,97,175
90338403,LÖVA,Beds,NA,NA,90,55
99211621,HEMNES,Beds,NA,83,87,2085
20320128,FLEKKE,Beds,NA,86,88,1495
69304829,MARKERAD,Beds,NA,NA,80,1092
99302975,PLATSA,Beds,40,43,141,2163.5
50393830,KURA,Beds,NA,68,97,149
89275265,STUVA / FÖLJA,Beds,NA,182,NA,1915
39288128,DELAKTIG,Beds,NA,99,204,2495
70340567,GRÄLVIKEN,Beds,86,74,225,1995
89240761,HOLMSUND,Beds,99,96,230,2295
59250756,LAUVIK,Beds,NA,120,160,2902
79253259,STUVA / FRITIDS,Beds,NA,182,NA,1990
20247982,SVÄRTA,Beds,NA,186,97,875
9302913,PLATSA,Beds,40,42,141,1611
29278101,GRÖNLID,Beds,98,104,196,3595
80411272,VITVAL,Beds,NA,162,97,1295
49278591,GRÖNLID,Beds,164,104,252,7610
19129932,BRIMNES,Beds,53,21,86,1795
80362974,SLÄKT,Beds,53,35,62,295
10372976,NORDLI,Beds,NA,84,240,695
69287537,DELAKTIG,Beds,NA,99,164,2095
257953,GONATT,Beds,NA,103,66,1095
20299688,BRENNÅSEN,Beds,7,NA,7,30
9217849,BRÅTHULT,Beds,78,69,212,1991
19302917,PLATSA,Beds,40,43,140,2210
59151271,SVÄRTA,Beds,NA,186,97,1175
9306435,NYHAMN,Beds,97,90,200,1445
29277639,LIDHULT,Beds,164,102,387,9585
40299687,BURFJORD,Beds,55,NA,55,40
49277105,VALLENTUNA,Beds,NA,84,266,4488
69302566,VITVAL,Beds,NA,195,135,1195
9278003,VALLENTUNA,Beds,93,84,266,5780
19290014,LIDHULT,Beds,97,95,160,3340
20426525,DELAKTIG,Beds,NA,70,150,495
10248519,GULLIVER,Beds,NA,80,66,595
60429471,DELAKTIG,Beds,NA,NA,NA,200
89300750,FLOTTEBO,Beds,120,79,200,2236
29288100,DELAKTIG,Beds,NA,29,204,1800
49292686,VIMLE,Beds,98,83,271,4645
49306443,NYHAMN,Beds,97,90,200,1295
45932080,SULTAN,Beds,NA,NA,NA,50
10309616,BÅTSFJORD,Beds,NA,NA,NA,30
79186774,KONGSFJORD,Beds,NA,135,180,8356
99183864,FLEKKE,Beds,NA,86,88,2185
70248564,SUNDVIK,Beds,NA,85,67,695
79217902,SANDBACKEN,Beds,NA,69,212,1841
79150746,HOLMSUND,Beds,151,96,230,2995
29277724,VALLENTUNA,Beds,113,84,186,4320
59297481,FLOTTEBO,Beds,90,79,200,1596
9306355,NYHAMN,Beds,97,90,200,1520
20249896,SVÄRTA,Beds,88,2,200,300
29266184,LIDHULT,Beds,98,102,294,7785
29278158,GRÖNLID,Beds,98,104,231,4270
49268653,STUVA / FRITIDS,Beds,NA,182,NA,2025
60102067,LYCKSELE HÅVET,Beds,NA,NA,NA,795
248567,SUNDVIK,Beds,NA,85,67,695
60431563,FRIHETEN,Beds,105,83,225,1845
29285521,VIMLE,Beds,98,83,160,2945
89278481,GRÖNLID,Beds,164,104,277,4790
70299695,BJORLI,Beds,NA,NA,NA,40
50456417,SLÄKT,Beds,NA,40,90,75
40296599,KURA,Beds,NA,68,97,125
10311228,KURA,Beds,NA,68,97,125
9277918,VALLENTUNA,Beds,NA,84,273,4036
19290603,LIDHULT,Beds,97,95,160,4841
80309613,BRATTVÅG,Beds,NA,NA,NA,50
59277652,VALLENTUNA,Beds,113,84,186,2932
69278415,GRÖNLID,Beds,98,104,267,4390
80102066,LYCKSELE MURBO,Beds,NA,NA,NA,695
89253169,STUVA / FRITIDS,Beds,NA,86,66,995
10411242,VITVAL,Beds,NA,195,135,995
19285588,VIMLE,Beds,98,83,190,3355
29297454,FLOTTEBO,Beds,90,79,200,1676
99280884,LYCKSELE LÖVÅS,Beds,100,87,142,1345
9278569,GRÖNLID,Beds,98,104,235,6110
19299726,VIMLE,Beds,98,83,349,7765
29257066,LIDHULT,Beds,98,102,208,4040
39292465,VIMLE,Beds,98,83,246,4120
69292275,VIMLE,Beds,98,83,261,4265
79267280,STUVA / FRITIDS,Beds,NA,86,66,995
99275241,STUVA / FÖLJA,Beds,NA,182,NA,1980
50201534,GONATT,Beds,NA,103,66,1095
80332473,SUFFLETT,Beds,NA,80,NA,85
39253176,STUVA / FRITIDS,Beds,NA,86,66,995
69297471,FLOTTEBO,Beds,120,79,200,1996
39266094,LIDHULT,Beds,164,102,298,5840
89149936,LYCKSELE HÅVET,Beds,100,87,142,1645
39277196,GRÖNLID,Beds,98,104,160,3145
59266074,LIDHULT,Beds,164,102,298,7873
39180566,STUVA / FÖLJA,Beds,NA,86,66,985
39266008,LIDHULT,Beds,98,102,208,5553
49253185,STUVA / FRITIDS,Beds,NA,86,66,995
59297141,JONAXEL,Bookcases & shelving units,51,70,25,135
59201841,OLAUS,Bookcases & shelving units,36,181,92,290
59297674,JONAXEL,Bookcases & shelving units,51,173,198,915
450347,KOLBJÖRN,Bookcases & shelving units,35,81,80,345
69297287,JONAXEL,Bookcases & shelving units,51,160,182,375
99303461,IVAR,Bookcases & shelving units,NA,179,175,1385
70261131,GERSBY,Bookcases & shelving units,24,180,60,95
20275814,KALLAX,Bookcases & shelving units,39,77,77,115
60282186,LACK,Bookcases & shelving units,28,190,30,199
278578,HYLLIS,Bookcases & shelving units,27,140,60,59
80275887,KALLAX,Bookcases & shelving units,39,147,77,250
50419972,JONAXEL,Bookcases & shelving units,38,160,80,175
30428326,HYLLIS,Bookcases & shelving units,27,74,60,39
90282180,LACK,Bookcases & shelving units,26,NA,NA,39
40178591,LAIVA,Bookcases & shelving units,24,165,62,85
40322876,SVALNÄS,Bookcases & shelving units,35,NA,81,270
20346072,KALLAX,Bookcases & shelving units,12,35,33,30
90305803,VITTSJÖ,Bookcases & shelving units,36,93,100,245
263850,BILLY,Bookcases & shelving units,28,202,80,185
50263838,BILLY,Bookcases & shelving units,28,202,40,145
30419973,JONAXEL,Bookcases & shelving units,51,70,25,75
39318031,HYLLIS,Bookcases & shelving units,27,NA,180,137
19222299,KALLAX,Bookcases & shelving units,159,147,77,450
30318163,IVAR,Bookcases & shelving units,30,NA,83,35
275848,KALLAX,Bookcases & shelving units,39,147,42,195
50214678,VITTSJÖ,Bookcases & shelving units,36,175,51,225
39031411,HEJNE,Bookcases & shelving units,31,171,78,165
40415465,LOMMARP,Bookcases & shelving units,34,199,65,476
40033763,IVAR,Bookcases & shelving units,30,83,80,295
50339292,FJÄLLBO,Bookcases & shelving units,36,95,100,495
20312492,OBSERVATÖR,Bookcases & shelving units,NA,18,30,15
